"surname","count"
"Kapanen",26
"Jokinen",25
"Koivu",22
"Peltonen",22
"Nummelin",19
"Ruutu",19
"Helminen",17
"Kukkonen",14
"Lehtonen",14
"Hagman",13
"Kiprusoff",13
"Nieminen",13
"Selänne",12
"Timonen",12
"Immonen",11
"Jutila",11
"Lehtinen",11
"Myllys",11
"Niinimaa",11
"Virta",11
"Berg",10
"Eloranta",10
"Hietanen",10
"Kallio",10
"Numminen",10
"Ojanen",10
"Pihlström",10
"Väänänen",10
"Kontiola",9
"Laukkanen",9
"Niemi",9
"Granlund",8
"Hentunen",8
"Komarov",8
"Lepistö",8
"Lumme",8
"Lydman",8
"Nurminen",8
"Ohtamaa",8
"Pyörälä",8
"Rintanen",8
"Sulander",8
"Tammi",8
"Ylönen",8
"Aaltonen",7
"Jaakola",7
"Karalahti",7
"Kurri",7
"Lind",7
"Miettinen",7
"Pesonen",7
"Sallinen",7
"Salo",7
"Anttila",6
"Bäckström",6
"Ketterer",6
"Koskinen",6
"Lajunen",6
"Lehterä",6
"Mäntylä",6
"Niskala",6
"Norrena",6
"Ruuttu",6
"Salmela",6
"Savinainen",6
"Strömberg",6
"Tikkanen",6
"Hahl",5
"Hämäläinen",5
"Keskinen",5
"Koivisto",5
"Mäkelä",5
"Pärssinen",5
"Pokka",5
"Ruotanen",5
"Sirén",5
"Summanen",5
"Törmänen",5
"Aalto",4
"Aho",4
"Alatalo",4
"Barkov",4
"Filppula",4
"Hytönen",4
"Kivistö",4
"Korpikoski",4
"Laaksonen",4
"Laine",4
"Lindell",4
"Manninen",4
"Palo",4
"Peltomaa",4
"Pirnes",4
"Rämö",4
"Riihijärvi",4
"Rinne",4
"Saarinen",4
"Santala",4
"Säteri",4
"Skriko",4
"Toskala",4
"Valtonen",4
"Vatanen",4
"Viuhkola",4
"Bergenheim",3
"Blomqvist",3
"Hartikainen",3
"Heiskanen",3
"Hurme",3
"Järvenpää",3
"Järvi",3
"Kemppainen",3
"Koistinen",3
"Koskiranta",3
"Levo",3
"Lindfors",3
"Määttä",3
"Mäenalanen",3
"Markkanen",3
"Niittymäki",3
"Olkinuora",3
"Osala",3
"Pirjetä",3
"Rantanen",3
"Ruotsalainen",3
"Saarikoski",3
"Säilynoja",3
"Saravo",3
"Sihvonen",3
"Söderholm",3
"Takko",3
"Tuohimaa",3
"Tuomainen",3
"Tuomisto",3
"Varvio",3
"Vehanen",3
"Viitakoski",3
"Björninen",2
"Donskoi",2
"Haula",2
"Honka",2
"Hyvönen",2
"Innala",2
"Järvinen",2
"Javanainen",2
"Joensuu",2
"Jokipakka",2
"Jormakka",2
"Kaski",2
"Ketola",2
"Kiimalainen",2
"Korpisalo",2
"Kuivalainen",2
"Lahti",2
"Lammikko",2
"Lassila",2
"Laurila",2
"Lehto",2
"Leinonen",2
"Leppänen",2
"Lindbohm",2
"Litma",2
"Luoma",2
"Mäenpää",2
"Mäkitalo",2
"Makkonen",2
"Mattsson",2
"Mikkola",2
"Ojamäki",2
"Oksanen",2
"Ortio",2
"Pakarinen",2
"Palola",2
"Pitkänen",2
"Porvari",2
"Puistola",2
"Rajala",2
"Rask",2
"Rautakallio",2
"Rita",2
"Salminen",2
"Saros",2
"Susi",2
"Teräväinen",2
"Tolvanen",2
"Varis",2
"Arbelius",1
"Armia",1
"Engren",1
"Enlund",1
"Filppula ",1
"Flinck",1
"Friman",1
"Grönman",1
"Grönstrand",1
"Grönvall",1
"Haapakoski",1
"Haapalainen",1
"Haataja",1
"Hakanpää",1
"Hakulinen",1
"Hännikäinen",1
"Harila",1
"Helenius",1
"Hirvonen",1
"Hovinen",1
"Huhtala",1
"Huikari",1
"Husso",1
"Huura",1
"Ikonen",1
"Ilomäki",1
"Jalasvaara",1
"Jalo",1
"Jalonen",1
"Jantunen",1
"Jokela",1
"Jokiharju",1
"Jokinen ",1
"Junttila",1
"Juvonen",1
"Kakko",1
"Karjalainen",1
"Kekäläinen",1
"Kerman",1
"Kiiskinen",1
"Kilpeläinen",1
"Kivelä",1
"Kiviranta",1
"Koivu ",1
"Koivulahti",1
"Komarov ",1
"Korpikari",1
"Koskilahti",1
"Kuusela",1
"Kyllönen",1
"Laakso",1
"Laamanen",1
"Laitinen",1
"Lankinen",1
"Lindroos",1
"Linna",1
"Linnonmaa",1
"Lius",1
"Louhivaara",1
"Lundell",1
"Luostarinen",1
"Mäkiaho",1
"Malmivaara",1
"Martikainen",1
"Marttinen",1
"Melametsä",1
"Melart",1
"Metsola",1
"Mikkolainen",1
"Narvanmaa",1
"Nokelainen",1
"Noronen",1
"Nousiainen",1
"Nutivaara",1
"Pakaslahti",1
"Peltola",1
"Pihlman",1
"Puljujärvi",1
"Pulkkinen",1
"Puustinen",1
"Raanta",1
"Raitanen",1
"Rautiainen",1
"Rautio",1
"Repo",1
"Riihiranta",1
"Riikola",1
"Riksman",1
"Rindell",1
"Ristolainen",1
"Ruohomaa",1
"Saari",1
"Salomäki",1
"Selänne ",1
"Seppälä",1
"Seppo",1
"Sevon",1
"Siekkinen",1
"Siltanen",1
"Sinisalo",1
"Sirviö",1
"Sormunen",1
"Suikkanen",1
"Sund",1
"Suomela",1
"Suoraniemi",1
"Tamminen",1
"Tiivola",1
"Timonen ",1
"Tirkkonen",1
"Torkki",1
"Tuppurainen",1
"Turunen",1
"Tuulola",1
"Tyrväinen",1
"Vahalahti",1
"Välivaara",1
"Vehmanen",1
"Vehviläinen",1
"Viitaluoma",1
"Villa",1
"Virtanen",1
"Wallinheimo",1
"Wirtanen",1
